"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTR124-0322"	3529	631449	"TTR124-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR125-0322"	3038	659888	"TTR125-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR126-0322"	2799	759513	"TTR126-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR128-0322"	2461	609954	"TTR128-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR129-0322"	3150	714132	"TTR129-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR130-0322"	3752	772240	"TTR130-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR131-0322"	2931	776580	"TTR131-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR132-0322"	3591	821858	"TTR132-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR133-0322"	3246	750260	"TTR133-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR135-0322"	3760	670708	"TTR135-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR136-0322"	3107	738243	"TTR136-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR137-0322"	3409	759598	"TTR137-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR139-0322"	2439	645017	"TTR139-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR140-0322"	3211	807623	"TTR140-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR141-0322"	2752	548390	"TTR141-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR143-0322"	2589	601041	"TTR143-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR144-0322"	2885	410486	"TTR144-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR145-0322"	2676	641103	"TTR145-0322"	"P0322"	"unknown"	"TTR"	0	"1"
"TTR146-0322"	3311	706121	"TTR146-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR147-0322"	2874	556644	"TTR147-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR148-0322"	3169	670184	"TTR148-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR149-0322"	3084	932863	"TTR149-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
