""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"TSPOAP1"	0.000777576052744137	0.424365369772029	0.135	0.053	1	"4"	"TSPOAP1"
"POP5"	0.00078222652964755	0.323208650649611	0.417	0.245	1	"4"	"POP5"
"NAA15"	0.000791667775732025	0.576721742896319	0.375	0.235	1	"4"	"NAA15"
"KLHL22"	0.000792393286290137	0.518529698317241	0.271	0.145	1	"4"	"KLHL22"
"AIMP2"	0.000806677264483735	0.567032262063138	0.292	0.167	1	"4"	"AIMP2"
"SSBP1"	0.000811895486210866	0.397465931455494	0.698	0.582	1	"4"	"SSBP1"
"RPL22L11"	0.000812894007463912	0.489790764405106	0.594	0.419	1	"4"	"RPL22L1"
"HADH"	0.000819320475145594	0.511669610020768	0.292	0.159	1	"4"	"HADH"
"COPB2"	0.000829070328161791	0.350205070293832	0.51	0.349	1	"4"	"COPB2"
"POLR1C"	0.00083489524018932	0.645180145045164	0.24	0.127	1	"4"	"POLR1C"
"MAGOHB"	0.00083978260035722	0.365678837328773	0.281	0.15	1	"4"	"MAGOHB"
"ARAF"	0.000845614258436668	0.313907778630038	0.49	0.312	1	"4"	"ARAF"
"ANP32E"	0.000851901175145693	0.356298618297282	0.708	0.547	1	"4"	"ANP32E"
"GGT11"	0.000855291883812348	0.392641487018263	0.26	0.137	1	"4"	"GGT1"
"LRRC8B"	0.000861690044751264	0.461469375780804	0.292	0.16	1	"4"	"LRRC8B"
"ABRACL1"	0.000862763023089147	0.355710437444573	0.76	0.605	1	"4"	"ABRACL"
"GPR137B1"	0.000867667544342415	0.662801243316154	0.229	0.117	1	"4"	"GPR137B"
"WDR4"	0.000871738785611467	0.414923694823545	0.125	0.047	1	"4"	"WDR4"
"GDF91"	0.000875157343164655	0.385079195829078	0.49	0.351	1	"4"	"GDF9"
"ZC3H8"	0.00087662071491302	0.345635592505955	0.375	0.222	1	"4"	"ZC3H8"
"TCOF1"	0.000891385190405395	0.254082997200854	0.344	0.196	1	"4"	"TCOF1"
"NDUFC2"	0.000900826083875357	0.328742166814664	0.646	0.491	1	"4"	"NDUFC2"
"TPMT"	0.000903259108039292	0.504462985491204	0.344	0.206	1	"4"	"TPMT"
"APOBEC3D"	0.000909999637717959	0.508458337748966	0.51	0.367	1	"4"	"APOBEC3D"
"MRPS11"	0.00091385796378011	0.43387603439091	0.385	0.238	1	"4"	"MRPS11"
"NDUFA4"	0.000914538381659358	0.359518221396401	0.917	0.884	1	"4"	"NDUFA4"
"COX6C1"	0.000919394528311166	0.305895774983852	0.948	0.863	1	"4"	"COX6C"
"ATP2A1"	0.000930771983837716	0.356799043305541	0.115	0.042	1	"4"	"ATP2A1"
"MTCH2"	0.000935128949112794	0.507641920171288	0.427	0.278	1	"4"	"MTCH2"
"CD631"	0.000936173728474925	0.308118690222901	0.635	0.44	1	"4"	"CD63"
"SAR1A"	0.000958197013578215	0.261495069945466	0.583	0.416	1	"4"	"SAR1A"
"AGO2"	0.000970447020368131	0.3899451792705	0.312	0.171	1	"4"	"AGO2"
"ANKRD371"	0.000971406689885765	0.396302498388793	0.281	0.155	1	"4"	"ANKRD37"
"CHMP4B2"	0.000981037848818864	0.385643081676134	0.208	0.098	1	"4"	"CHMP4B"
"HARS"	0.000992156539178179	0.389153621872901	0.448	0.299	1	"4"	"HARS"
"RGS161"	0.0009966332351495	0.789588403032319	0.125	0.049	1	"4"	"RGS16"
"TAPBP"	0.00099831773211724	0.328481003733414	0.865	0.733	1	"4"	"TAPBP"
"MRPS28"	0.0010092916311251	0.486546460958452	0.323	0.187	1	"4"	"MRPS28"
"MRPL24"	0.00100932764013971	0.616818202913366	0.271	0.152	1	"4"	"MRPL24"
"YARS"	0.00100973528243522	0.444627498191538	0.49	0.349	1	"4"	"YARS"
